,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9365853658536585,0.9896907216494846,0.8888888888888888,96,1,528,12
1,桂枝,0.9719626168224299,0.9848484848484849,0.959409594095941,260,4,362,11
2,荊芥,0.8947368421052632,0.9444444444444444,0.85,17,1,616,3
3,防風,0.9166666666666667,0.9428571428571428,0.8918918918918919,33,2,598,4
4,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
5,白芷,0.923076923076923,1.0,0.8571428571428571,6,0,630,1
6,生薑,0.9512893982808022,0.9940119760479041,0.9120879120879121,166,1,454,16
7,辛夷,0.9473684210526316,1.0,0.9,27,0,607,3
8,葛根,0.761904761904762,1.0,0.6153846153846154,8,0,624,5
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
11,蟬蛻,0.9655172413793104,1.0,0.9333333333333333,14,0,622,1
12,石膏,0.9565217391304348,1.0,0.9166666666666666,77,0,553,7
13,知母,0.9702970297029703,1.0,0.9423076923076923,98,0,533,6
14,梔子,0.9791666666666666,0.9791666666666666,0.9791666666666666,47,1,588,1
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.9333333333333333,1.0,0.875,7,0,629,1
17,決明子,0.8750000000000001,1.0,0.7777777777777778,7,0,628,2
18,生地,0.9784172661870503,1.0,0.9577464788732394,68,0,566,3
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.962962962962963,1.0,0.9285714285714286,26,0,609,2
21,射干,0.9696969696969697,1.0,0.9411764705882353,16,0,620,1
22,黃連,0.9891696750902527,1.0,0.9785714285714285,137,0,497,3
23,黃芩,0.9900199600798403,1.0,0.9802371541501976,248,0,384,5
24,黃柏,0.9647058823529412,1.0,0.9318181818181818,41,0,593,3
25,龍膽草,0.975609756097561,1.0,0.9523809523809523,80,0,553,4
26,大黃,0.9626168224299065,1.0,0.9279279279279279,103,0,526,8
27,芒硝,0.9767441860465116,0.9767441860465116,0.9767441860465116,42,1,593,1
28,防己,0.98989898989899,1.0,0.98,49,0,587,1
29,秦艽,0.8571428571428571,1.0,0.75,3,0,633,1
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.9534883720930233,1.0,0.9111111111111111,41,0,592,4
32,草果,1.0,1.0,1.0,6,0,631,0
33,茯苓,0.9705882352941176,0.99,0.9519230769230769,198,2,427,10
34,豬苓,0.943089430894309,0.9666666666666667,0.9206349206349206,58,2,572,5
35,薏苡仁,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,629,1
36,海金砂,1.0,1.0,1.0,5,0,632,0
37,澤瀉,0.9773755656108597,1.0,0.9557522123893806,216,0,411,10
38,車前子,1.0,1.0,1.0,5,0,632,0
39,滑石,0.9,1.0,0.8181818181818182,18,0,615,4
40,木通,1.0,1.0,1.0,53,0,584,0
41,通草,1.0,1.0,1.0,3,0,634,0
42,赤小豆,1.0,1.0,1.0,11,0,626,0
43,燈心草,0.9090909090909091,1.0,0.8333333333333334,5,0,631,1
44,乾薑,0.9852941176470589,0.9925925925925926,0.9781021897810219,134,1,499,3
45,附子,0.9770992366412213,1.0,0.9552238805970149,256,0,369,12
46,吳茱萸,1.0,1.0,1.0,61,0,576,0
47,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
48,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
49,厚朴,0.9625668449197862,0.967741935483871,0.9574468085106383,90,3,540,4
50,大腹皮,0.9090909090909091,1.0,0.8333333333333334,5,0,631,1
51,青皮,0.9565217391304348,1.0,0.9166666666666666,11,0,625,1
52,薤白,1.0,1.0,1.0,13,0,624,0
53,麥芽,0.962962962962963,0.9873417721518988,0.9397590361445783,78,1,553,5
54,側柏葉,1.0,1.0,1.0,31,0,606,0
55,槐花,1.0,1.0,1.0,12,0,625,0
56,三七,1.0,1.0,1.0,8,0,629,0
57,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
58,川芎,0.9679300291545189,0.9764705882352941,0.9595375722543352,166,4,460,7
59,乳香,1.0,1.0,1.0,9,0,628,0
60,延胡索,0.9411764705882353,0.8888888888888888,1.0,8,1,628,0
61,鬱金,0.9775280898876404,1.0,0.9560439560439561,87,0,546,4
62,紅花,1.0,1.0,1.0,6,0,631,0
63,桃仁,0.9577464788732395,1.0,0.918918918918919,34,0,600,3
64,牛膝,0.9387755102040817,0.92,0.9583333333333334,23,2,611,1
65,半夏,0.9498327759197324,0.9659863945578231,0.9342105263157895,142,5,480,10
66,白附子,0.9333333333333332,0.9545454545454546,0.9130434782608695,21,1,613,2
67,桔梗,0.9285714285714286,1.0,0.8666666666666667,26,0,607,4
68,旋覆花,0.9696969696969697,1.0,0.9411764705882353,48,0,586,3
69,瓜蔞,0.7777777777777778,1.0,0.6363636363636364,7,0,626,4
70,海藻,0.4615384615384615,1.0,0.3,6,0,617,14
71,杏仁,0.6138613861386139,0.9393939393939394,0.45588235294117646,31,2,567,37
72,紫菀,0.5714285714285715,1.0,0.4,4,0,627,6
73,龍骨,0.2916666666666667,1.0,0.17073170731707318,7,0,596,34
74,牡蠣,0.5333333333333333,0.975609756097561,0.3669724770642202,40,1,527,69
75,酸棗仁,0.2222222222222222,1.0,0.125,3,0,613,21
76,遠志,0.2222222222222222,1.0,0.125,4,0,605,28
77,小麥,0.3076923076923077,1.0,0.18181818181818182,2,0,626,9
78,代赭石,0.09230769230769231,1.0,0.04838709677419355,3,0,575,59
79,黃耆,0.34782608695652173,1.0,0.21052631578947367,8,0,599,30
80,白朮,0.4510638297872341,0.9298245614035088,0.29775280898876405,53,4,455,125
81,大棗,0.6160337552742616,0.9864864864864865,0.44785276073619634,73,1,473,90
82,甘草,0.8824427480916031,0.9829931972789115,0.8005540166204986,289,5,271,72
83,巴戟天,0.8205128205128205,1.0,0.6956521739130435,16,0,614,7
84,補骨脂,0.8936170212765957,1.0,0.8076923076923077,126,0,481,30
85,益智仁,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,630,1
86,陽起石,0.8732394366197184,1.0,0.775,31,0,597,9
87,續斷,0.8421052631578948,1.0,0.7272727272727273,8,0,626,3
88,杜仲,0.7096774193548386,0.6875,0.7333333333333333,11,5,617,4
89,何首烏,0.7333333333333334,0.8461538461538461,0.6470588235294118,11,2,618,6
90,當歸,0.7094801223241591,1.0,0.5497630331753555,116,0,426,95
91,白芍,0.8315789473684211,0.9713114754098361,0.7269938650306749,237,7,304,89
92,阿膠,0.6666666666666667,0.8979591836734694,0.5301204819277109,44,5,549,39
93,西洋參,0.7499999999999999,1.0,0.6,3,0,632,2
94,龜板,0.9433962264150944,0.9615384615384616,0.9259259259259259,25,1,609,2
95,鱉甲,0.7096774193548387,0.8461538461538461,0.6111111111111112,22,4,597,14
96,山茱萸,0.7368421052631579,1.0,0.5833333333333334,7,0,625,5
97,覆盆子,0.25,1.0,0.14285714285714285,1,0,630,6
98,五味子,0.16,1.0,0.08695652173913043,2,0,614,21
99,烏梅,0.1818181818181818,0.5,0.1111111111111111,1,1,627,8
100,五倍子,0.7407407407407407,0.5882352941176471,1.0,10,7,620,0
