,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9230769230769231,0.9026548672566371,0.9444444444444444,102,11,518,6
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,荊芥,0.5333333333333333,0.36363636363636365,1.0,20,35,582,0
3,防風,0.6788990825688073,0.5138888888888888,1.0,37,35,565,0
4,細辛,0.9700272479564033,0.967391304347826,0.9726775956284153,178,6,448,5
5,白芷,0.3111111111111111,0.18421052631578946,1.0,7,31,599,0
6,生薑,0.9187817258883249,0.8537735849056604,0.9945054945054945,181,31,424,1
7,辛夷,0.6382978723404256,0.46875,1.0,30,34,573,0
8,葛根,0.41935483870967744,0.2653061224489796,1.0,13,36,588,0
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.973621103117506,0.9575471698113207,0.9902439024390244,203,9,423,2
11,蟬蛻,0.4918032786885246,0.32608695652173914,1.0,15,31,591,0
12,石膏,0.9257142857142856,0.8901098901098901,0.9642857142857143,81,10,543,3
13,知母,0.9488372093023255,0.918918918918919,0.9807692307692307,102,9,524,2
14,梔子,0.9600000000000001,0.9230769230769231,1.0,48,4,585,0
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.3404255319148936,0.20512820512820512,1.0,8,31,598,0
17,決明子,0.375,0.23076923076923078,1.0,9,30,598,0
18,生地,0.9589041095890412,0.9333333333333333,0.9859154929577465,70,5,561,1
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.9642857142857143,0.9642857142857143,0.9642857142857143,27,1,608,1
21,射干,0.9444444444444444,0.8947368421052632,1.0,17,2,618,0
22,黃連,0.9857142857142858,0.9857142857142858,0.9857142857142858,138,2,495,2
23,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
24,黃柏,0.9247311827956989,0.8775510204081632,0.9772727272727273,43,6,587,1
25,龍膽草,0.9647058823529412,0.9534883720930233,0.9761904761904762,82,4,549,2
26,大黃,0.9506726457399103,0.9464285714285714,0.954954954954955,106,6,520,5
27,芒硝,0.9767441860465116,0.9767441860465116,0.9767441860465116,42,1,593,1
28,防己,0.98989898989899,1.0,0.98,49,0,587,1
29,秦艽,0.20512820512820512,0.11428571428571428,1.0,4,31,602,0
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.7317073170731707,0.5769230769230769,1.0,45,33,559,0
32,草果,1.0,1.0,1.0,6,0,631,0
33,茯苓,0.9686746987951806,0.9710144927536232,0.9663461538461539,201,6,423,7
34,豬苓,0.7974683544303798,0.6631578947368421,1.0,63,32,542,0
35,薏苡仁,0.30434782608695654,0.1794871794871795,1.0,7,32,598,0
36,海金砂,1.0,1.0,1.0,5,0,632,0
37,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
38,車前子,1.0,1.0,1.0,5,0,632,0
39,滑石,0.5714285714285715,0.4,1.0,22,33,582,0
40,木通,1.0,1.0,1.0,53,0,584,0
41,通草,1.0,1.0,1.0,3,0,634,0
42,赤小豆,1.0,1.0,1.0,11,0,626,0
43,燈心草,0.27906976744186046,0.16216216216216217,1.0,6,31,600,0
44,乾薑,0.9818181818181817,0.9782608695652174,0.9854014598540146,135,3,497,2
45,附子,0.9775280898876405,0.981203007518797,0.9738805970149254,261,5,364,7
46,吳茱萸,1.0,1.0,1.0,61,0,576,0
47,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
48,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
49,厚朴,0.8584474885844748,0.752,1.0,94,31,512,0
50,大腹皮,0.27906976744186046,0.16216216216216217,1.0,6,31,600,0
51,青皮,0.923076923076923,0.8571428571428571,1.0,12,2,623,0
52,薤白,1.0,1.0,1.0,13,0,624,0
53,麥芽,0.9634146341463414,0.9753086419753086,0.9518072289156626,79,2,552,4
54,側柏葉,1.0,1.0,1.0,31,0,606,0
55,槐花,1.0,1.0,1.0,12,0,625,0
56,三七,1.0,1.0,1.0,8,0,629,0
57,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
58,川芎,0.9679300291545189,0.9764705882352941,0.9595375722543352,166,4,460,7
59,乳香,1.0,1.0,1.0,9,0,628,0
60,延胡索,0.9411764705882353,0.8888888888888888,1.0,8,1,628,0
61,鬱金,0.9836065573770493,0.9782608695652174,0.989010989010989,90,2,544,1
62,紅花,1.0,1.0,1.0,6,0,631,0
63,桃仁,0.9135802469135803,0.8409090909090909,1.0,37,7,593,0
64,牛膝,0.6075949367088608,0.43636363636363634,1.0,24,31,582,0
65,半夏,0.9487179487179489,0.925,0.9736842105263158,148,12,473,4
66,白附子,0.5822784810126582,0.4107142857142857,1.0,23,33,581,0
67,桔梗,0.923076923076923,0.8571428571428571,1.0,30,5,602,0
68,旋覆花,0.9902912621359222,0.9807692307692307,1.0,51,1,585,0
69,瓜蔞,1.0,1.0,1.0,11,0,626,0
70,海藻,0.975609756097561,0.9523809523809523,1.0,20,1,616,0
71,杏仁,0.9489051094890512,0.9420289855072463,0.9558823529411765,65,4,565,3
72,紫菀,0.9090909090909091,0.8333333333333334,1.0,10,2,625,0
73,龍骨,0.963855421686747,0.9523809523809523,0.975609756097561,40,2,594,1
74,牡蠣,0.9767441860465116,0.9905660377358491,0.963302752293578,105,1,527,4
75,酸棗仁,1.0,1.0,1.0,24,0,613,0
76,遠志,1.0,1.0,1.0,32,0,605,0
77,小麥,0.4230769230769231,0.2682926829268293,1.0,11,30,596,0
78,代赭石,0.9763779527559054,0.9538461538461539,1.0,62,3,572,0
79,黃耆,0.925,0.8809523809523809,0.9736842105263158,37,5,594,1
80,白朮,0.9151670951156813,0.8436018957345972,1.0,178,33,426,0
81,大棗,0.9030470914127424,0.8232323232323232,1.0,163,35,439,0
82,甘草,0.9686609686609687,0.9970674486803519,0.9418282548476454,340,1,275,21
83,巴戟天,1.0,1.0,1.0,23,0,614,0
84,補骨脂,0.9872611464968154,0.9810126582278481,0.9935897435897436,155,3,478,1
85,益智仁,1.0,1.0,1.0,6,0,631,0
86,陽起石,0.9873417721518987,1.0,0.975,39,0,597,1
87,續斷,1.0,1.0,1.0,11,0,626,0
88,杜仲,0.4918032786885246,0.32608695652173914,1.0,15,31,591,0
89,何首烏,1.0,1.0,1.0,17,0,620,0
90,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
91,白芍,0.9767441860465117,0.987460815047022,0.9662576687116564,315,4,307,11
92,阿膠,0.9761904761904762,0.9647058823529412,0.9879518072289156,82,3,551,1
93,西洋參,1.0,1.0,1.0,5,0,632,0
94,龜板,0.9473684210526316,0.9,1.0,27,3,607,0
95,鱉甲,1.0,1.0,1.0,36,0,601,0
96,山茱萸,1.0,1.0,1.0,12,0,625,0
97,覆盆子,1.0,1.0,1.0,7,0,630,0
98,五味子,0.9787234042553191,0.9583333333333334,1.0,23,1,613,0
99,烏梅,0.9,0.8181818181818182,1.0,9,2,626,0
100,五倍子,1.0,1.0,1.0,10,0,627,0
101,炙甘草,0.9689608636977058,0.9972222222222222,0.9422572178477691,359,1,255,22
102,overall,0.9272394385298706,0.8820797316475294,0.9772727272727273,6837,914,57064,159
